工程师学校名称,高考BAC录取均分,学校评分网址
École Polytechnique - Palaiseau,18/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-polytechnique-7681.html#classement-des-ecoles-d-ingenieurs
ENSCP - Chimie ParisTech,17.95/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-chimie-paristech-6897.html#classement-des-ecoles-d-ingenieurs
INSA Lyon,17.9/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institut-national-des-sciences-appliquees-de-lyon-6360.html#classement-des-ecoles-d-ingenieurs
École des Mines Paris - PSL,17.78/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-des-mines-de-paris-6922.html#classement-des-ecoles-d-ingenieurs
ESPCI Paris,17.68/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-superieure-de-physique-et-de-chimie-industrielles-de-la-ville-de-paris-6898.html#classement-des-ecoles-d-ingenieurs
École des ponts ParisTech - Marne-la-vallée,17.66/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-des-ponts-paristech-7222.html#classement-des-ecoles-d-ingenieurs
ENSTA Paris,17.57/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-de-techniques-avancees-6915.html#classement-des-ecoles-d-ingenieurs
École des mines - Nancy,17.53/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-des-mines-de-nancy-5518.html#classement-des-ecoles-d-ingenieurs
ENSAE Paris,17.5/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-de-la-statistique-et-de-l-administration-economique-7779.html#classement-des-ecoles-d-ingenieurs
CentraleSupélec,17.48/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-centralesupelec-cursus-ingenieur-supelec-7696.html#classement-des-ecoles-d-ingenieurs
ISAE-SUPAERO - Toulouse,17.27/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institut-superieur-de-l-aeronautique-et-de-l-espace-4438.html#classement-des-ecoles-d-ingenieurs
École centrale - Lille,17.26/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-centrale-de-lille-5833.html#classement-des-ecoles-d-ingenieurs
INSA Rennes,17.22/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institut-national-des-sciences-appliquees-de-rennes-4803.html#classement-des-ecoles-d-ingenieurs
École des mines - Saint-Étienne,17.1/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-des-mines-de-saint-etienne-5070.html#classement-des-ecoles-d-ingenieurs
ENSCL - Chimie Lille,17.08/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-de-chimie-de-lille-5802.html#classement-des-ecoles-d-ingenieurs
SupOptique - Palaiseau,17.07/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institut-d-optique-graduate-school-7684.html#classement-des-ecoles-d-ingenieurs
École centrale - Méditerranée,17.05/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-centrale-de-marseille-3783.html#classement-des-ecoles-d-ingenieurs
Télécom Paris,17.03/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/telecom-paris.html#classement-des-ecoles-d-ingenieurs
ECPM - Strasbourg,17.03/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-europeenne-de-chimie-polymeres-et-materiaux-de-strasbourg-6168.html#classement-des-ecoles-d-ingenieurs
ENSCM - Chimie Montpellier,17.01/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-de-chimie-de-montpellier-4685.html#classement-des-ecoles-d-ingenieurs
IMT Nord Europe,17.01/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-mines-telecom-lille-douai-5797.html#classement-des-ecoles-d-ingenieurs
ENSEEIHT - INP Toulouse,16.98/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-d-electrotechnique-d-electronique-d-informatique-d-hydr-4492.html#classement-des-ecoles-d-ingenieurs
École centrale - Lyon,16.93/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-centrale-de-lyon-6367.html#classement-des-ecoles-d-ingenieurs
Télécom SudParis - Evry,16.89/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-telecom-sudparis-7688.html#classement-des-ecoles-d-ingenieurs
École centrale - Nantes,16.75/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-centrale-de-nantes-5166.html#classement-des-ecoles-d-ingenieurs
INSA Toulouse,16.74/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institut-national-des-sciences-appliquees-de-toulouse-4434.html#classement-des-ecoles-d-ingenieurs
ENTPE - Lyon,16.68/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-des-travaux-publics-de-l-etat-6373.html#classement-des-ecoles-d-ingenieurs
ENSTA Bretagne - Brest,16.6/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-de-techniques-avancees-bretagne-4306.html#classement-des-ecoles-d-ingenieurs
AgroParisTech,16.58/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-agroparistech-6828.html#classement-des-ecoles-d-ingenieurs
ESILV - Paris-La Défense,16.5/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-superieure-d-ingenieurs-leonard-de-vinci-7776.html#classement-des-ecoles-d-ingenieurs
INP Bordeaux- ENSEIRB - MATMECA,16.48/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-d-electronique-informatique-telecommunications-mathemat-4577.html#classement-des-ecoles-d-ingenieurs
UTC - Compiègne,16.44/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-universite-de-technologie-de-compiegne-5895.html#classement-des-ecoles-d-ingenieurs
Grenoble INP - Phelma,16.42/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-de-physique-electronique-materiaux-4946.html#classement-des-ecoles-d-ingenieurs
Grenoble INP - Ensimag,16.41/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-d-informatique-et-de-mathematiques-appliquees-4947.html#classement-des-ecoles-d-ingenieurs
ENSIACET - INP Toulouse,16.38/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-des-ingenieurs-en-arts-chimiques-et-technologiques-4490.html#classement-des-ecoles-d-ingenieurs
IMT Atlantique,16.34/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-mines-telecom-atlantique-bretagne-pays-de-la-loire-5200.html#classement-des-ecoles-d-ingenieurs
Grenoble INP - Ense³,16.24/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-de-l-energie-l-eau-et-l-environnement-4953.html#classement-des-ecoles-d-ingenieurs
EPITA - Kremlin-Bicêtre,16.23/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-pour-l-informatique-et-les-techniques-avancees-7915.html#classement-des-ecoles-d-ingenieurs
IMT Mines Albi,16.21/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-des-mines-d-albi-carmaux-7409.html#classement-des-ecoles-d-ingenieurs
EIVP - Paris,16.21/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-des-ingenieurs-de-la-ville-de-paris-6941.html#classement-des-ecoles-d-ingenieurs
IMT Mines Alès,16.04/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-des-mines-d-ales-4353.html#classement-des-ecoles-d-ingenieurs
Polytech Sorbonne,16.02/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-polytechnique-universitaire-pierre-et-marie-curie-6937.html#classement-des-ecoles-d-ingenieurs
Polytech Nice Sophia,15.88/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-polytechnique-de-l-universite-nice-sophia-antipolis-3586.html#classement-des-ecoles-d-ingenieurs
